# Region type : patch heater_to_fins
# Faces  :    241
# Area   :    1.550025e-04
# Time        	areaAverage(T)
675           	3.090479e+02
676           	3.090492e+02
677           	3.090504e+02
678           	3.090517e+02
679           	3.090529e+02
680           	3.090542e+02
681           	3.090554e+02
682           	3.090567e+02
683           	3.090579e+02
684           	3.090591e+02
685           	3.090603e+02
686           	3.090615e+02
687           	3.090627e+02
688           	3.090639e+02
689           	3.090651e+02
690           	3.090663e+02
691           	3.090674e+02
692           	3.090686e+02
693           	3.090698e+02
694           	3.090709e+02
695           	3.090721e+02
696           	3.090732e+02
697           	3.090744e+02
698           	3.090755e+02
699           	3.090766e+02
700           	3.090778e+02
701           	3.090789e+02
702           	3.090800e+02
703           	3.090811e+02
704           	3.090822e+02
705           	3.090833e+02
706           	3.090844e+02
707           	3.090855e+02
708           	3.090866e+02
709           	3.090876e+02
710           	3.090887e+02
711           	3.090898e+02
712           	3.090908e+02
713           	3.090919e+02
714           	3.090929e+02
715           	3.090940e+02
716           	3.090950e+02
717           	3.090961e+02
718           	3.090971e+02
719           	3.090981e+02
720           	3.090991e+02
721           	3.091001e+02
722           	3.091011e+02
723           	3.091021e+02
724           	3.091031e+02
725           	3.091041e+02
726           	3.091051e+02
727           	3.091061e+02
728           	3.091071e+02
729           	3.091080e+02
730           	3.091090e+02
731           	3.091100e+02
732           	3.091109e+02
733           	3.091119e+02
734           	3.091128e+02
735           	3.091138e+02
736           	3.091147e+02
737           	3.091157e+02
738           	3.091166e+02
739           	3.091175e+02
740           	3.091184e+02
741           	3.091194e+02
742           	3.091203e+02
743           	3.091212e+02
744           	3.091221e+02
745           	3.091230e+02
746           	3.091239e+02
747           	3.091248e+02
748           	3.091257e+02
749           	3.091266e+02
750           	3.091275e+02
751           	3.091283e+02
752           	3.091292e+02
753           	3.091301e+02
754           	3.091310e+02
755           	3.091318e+02
756           	3.091327e+02
757           	3.091335e+02
758           	3.091344e+02
759           	3.091352e+02
760           	3.091361e+02
761           	3.091369e+02
762           	3.091378e+02
763           	3.091386e+02
764           	3.091395e+02
765           	3.091403e+02
766           	3.091411e+02
767           	3.091419e+02
768           	3.091428e+02
769           	3.091436e+02
770           	3.091444e+02
771           	3.091452e+02
772           	3.091460e+02
773           	3.091468e+02
774           	3.091476e+02
775           	3.091484e+02
776           	3.091492e+02
777           	3.091500e+02
778           	3.091508e+02
779           	3.091516e+02
780           	3.091524e+02
781           	3.091532e+02
782           	3.091540e+02
783           	3.091547e+02
784           	3.091555e+02
785           	3.091563e+02
786           	3.091571e+02
787           	3.091578e+02
788           	3.091586e+02
789           	3.091593e+02
790           	3.091601e+02
791           	3.091608e+02
792           	3.091616e+02
793           	3.091623e+02
794           	3.091631e+02
795           	3.091638e+02
796           	3.091645e+02
797           	3.091653e+02
798           	3.091660e+02
799           	3.091667e+02
800           	3.091674e+02
801           	3.091681e+02
802           	3.091688e+02
803           	3.091695e+02
804           	3.091702e+02
805           	3.091709e+02
806           	3.091716e+02
807           	3.091723e+02
808           	3.091730e+02
809           	3.091737e+02
810           	3.091743e+02
811           	3.091750e+02
812           	3.091756e+02
813           	3.091763e+02
814           	3.091770e+02
815           	3.091776e+02
816           	3.091782e+02
817           	3.091789e+02
818           	3.091795e+02
819           	3.091801e+02
820           	3.091807e+02
821           	3.091814e+02
822           	3.091820e+02
823           	3.091826e+02
824           	3.091832e+02
825           	3.091838e+02
826           	3.091844e+02
827           	3.091850e+02
828           	3.091856e+02
829           	3.091861e+02
830           	3.091867e+02
831           	3.091873e+02
832           	3.091879e+02
833           	3.091884e+02
834           	3.091890e+02
835           	3.091896e+02
836           	3.091901e+02
837           	3.091907e+02
838           	3.091912e+02
839           	3.091918e+02
840           	3.091923e+02
841           	3.091929e+02
842           	3.091934e+02
843           	3.091939e+02
844           	3.091945e+02
845           	3.091950e+02
846           	3.091955e+02
847           	3.091961e+02
848           	3.091966e+02
849           	3.091971e+02
850           	3.091976e+02
851           	3.091981e+02
852           	3.091987e+02
853           	3.091992e+02
854           	3.091997e+02
855           	3.092002e+02
856           	3.092007e+02
857           	3.092012e+02
858           	3.092017e+02
859           	3.092022e+02
860           	3.092026e+02
861           	3.092031e+02
862           	3.092036e+02
863           	3.092041e+02
864           	3.092045e+02
865           	3.092050e+02
866           	3.092055e+02
867           	3.092059e+02
868           	3.092064e+02
869           	3.092069e+02
870           	3.092073e+02
871           	3.092078e+02
872           	3.092082e+02
873           	3.092087e+02
874           	3.092091e+02
875           	3.092096e+02
876           	3.092100e+02
877           	3.092105e+02
878           	3.092109e+02
879           	3.092114e+02
880           	3.092118e+02
881           	3.092123e+02
882           	3.092127e+02
883           	3.092131e+02
884           	3.092136e+02
885           	3.092140e+02
886           	3.092144e+02
887           	3.092149e+02
888           	3.092153e+02
889           	3.092157e+02
890           	3.092162e+02
891           	3.092166e+02
892           	3.092170e+02
893           	3.092175e+02
894           	3.092179e+02
895           	3.092183e+02
896           	3.092187e+02
897           	3.092192e+02
898           	3.092196e+02
899           	3.092200e+02
900           	3.092204e+02
901           	3.092208e+02
902           	3.092212e+02
903           	3.092217e+02
904           	3.092221e+02
905           	3.092225e+02
906           	3.092229e+02
907           	3.092233e+02
908           	3.092237e+02
909           	3.092241e+02
910           	3.092245e+02
911           	3.092249e+02
912           	3.092253e+02
913           	3.092256e+02
914           	3.092260e+02
915           	3.092264e+02
916           	3.092268e+02
917           	3.092271e+02
918           	3.092275e+02
919           	3.092279e+02
920           	3.092282e+02
921           	3.092286e+02
922           	3.092289e+02
923           	3.092292e+02
924           	3.092296e+02
925           	3.092299e+02
926           	3.092302e+02
927           	3.092305e+02
928           	3.092308e+02
929           	3.092312e+02
930           	3.092315e+02
931           	3.092318e+02
932           	3.092320e+02
933           	3.092323e+02
934           	3.092326e+02
935           	3.092329e+02
936           	3.092332e+02
937           	3.092334e+02
938           	3.092337e+02
939           	3.092339e+02
940           	3.092342e+02
941           	3.092344e+02
942           	3.092347e+02
943           	3.092349e+02
944           	3.092352e+02
945           	3.092354e+02
946           	3.092356e+02
947           	3.092358e+02
948           	3.092360e+02
949           	3.092363e+02
950           	3.092365e+02
951           	3.092367e+02
952           	3.092369e+02
953           	3.092370e+02
954           	3.092372e+02
955           	3.092374e+02
956           	3.092376e+02
957           	3.092378e+02
958           	3.092379e+02
959           	3.092381e+02
960           	3.092383e+02
961           	3.092384e+02
962           	3.092386e+02
963           	3.092388e+02
964           	3.092389e+02
965           	3.092391e+02
966           	3.092392e+02
967           	3.092394e+02
968           	3.092395e+02
969           	3.092397e+02
970           	3.092398e+02
971           	3.092400e+02
972           	3.092401e+02
973           	3.092403e+02
974           	3.092404e+02
975           	3.092406e+02
976           	3.092407e+02
977           	3.092409e+02
978           	3.092410e+02
979           	3.092412e+02
980           	3.092414e+02
981           	3.092415e+02
982           	3.092417e+02
983           	3.092418e+02
984           	3.092420e+02
985           	3.092421e+02
986           	3.092423e+02
987           	3.092425e+02
988           	3.092426e+02
989           	3.092428e+02
990           	3.092429e+02
991           	3.092431e+02
992           	3.092433e+02
993           	3.092434e+02
994           	3.092436e+02
995           	3.092438e+02
996           	3.092439e+02
997           	3.092441e+02
998           	3.092443e+02
999           	3.092444e+02
1000          	3.092446e+02
1001          	3.092448e+02
1002          	3.092450e+02
1003          	3.092452e+02
1004          	3.092453e+02
1005          	3.092455e+02
1006          	3.092457e+02
1007          	3.092459e+02
1008          	3.092461e+02
1009          	3.092463e+02
1010          	3.092465e+02
1011          	3.092466e+02
1012          	3.092468e+02
1013          	3.092470e+02
1014          	3.092472e+02
1015          	3.092474e+02
1016          	3.092476e+02
1017          	3.092478e+02
1018          	3.092480e+02
1019          	3.092482e+02
1020          	3.092485e+02
1021          	3.092487e+02
1022          	3.092489e+02
1023          	3.092491e+02
1024          	3.092493e+02
1025          	3.092495e+02
1026          	3.092497e+02
1027          	3.092500e+02
1028          	3.092502e+02
1029          	3.092504e+02
1030          	3.092506e+02
1031          	3.092509e+02
1032          	3.092511e+02
1033          	3.092513e+02
1034          	3.092516e+02
1035          	3.092518e+02
1036          	3.092520e+02
1037          	3.092523e+02
1038          	3.092525e+02
1039          	3.092528e+02
1040          	3.092530e+02
1041          	3.092533e+02
1042          	3.092535e+02
1043          	3.092538e+02
1044          	3.092540e+02
1045          	3.092543e+02
1046          	3.092545e+02
1047          	3.092548e+02
1048          	3.092550e+02
1049          	3.092553e+02
1050          	3.092556e+02
1051          	3.092558e+02
1052          	3.092561e+02
1053          	3.092564e+02
1054          	3.092567e+02
1055          	3.092569e+02
1056          	3.092572e+02
1057          	3.092575e+02
1058          	3.092577e+02
1059          	3.092580e+02
1060          	3.092583e+02
1061          	3.092586e+02
1062          	3.092588e+02
1063          	3.092591e+02
1064          	3.092594e+02
1065          	3.092597e+02
1066          	3.092600e+02
1067          	3.092602e+02
1068          	3.092605e+02
1069          	3.092608e+02
1070          	3.092610e+02
1071          	3.092613e+02
1072          	3.092616e+02
1073          	3.092619e+02
1074          	3.092621e+02
1075          	3.092624e+02
1076          	3.092626e+02
1077          	3.092629e+02
1078          	3.092632e+02
1079          	3.092634e+02
1080          	3.092637e+02
1081          	3.092639e+02
1082          	3.092642e+02
1083          	3.092644e+02
1084          	3.092647e+02
1085          	3.092649e+02
1086          	3.092652e+02
1087          	3.092654e+02
1088          	3.092656e+02
1089          	3.092659e+02
1090          	3.092661e+02
1091          	3.092663e+02
1092          	3.092666e+02
1093          	3.092668e+02
1094          	3.092670e+02
1095          	3.092672e+02
1096          	3.092675e+02
1097          	3.092677e+02
1098          	3.092679e+02
1099          	3.092681e+02
1100          	3.092683e+02
1101          	3.092686e+02
1102          	3.092688e+02
1103          	3.092690e+02
1104          	3.092692e+02
1105          	3.092694e+02
1106          	3.092696e+02
1107          	3.092698e+02
1108          	3.092700e+02
1109          	3.092701e+02
1110          	3.092703e+02
1111          	3.092705e+02
1112          	3.092707e+02
1113          	3.092708e+02
1114          	3.092710e+02
1115          	3.092712e+02
1116          	3.092713e+02
1117          	3.092715e+02
1118          	3.092716e+02
1119          	3.092717e+02
1120          	3.092719e+02
1121          	3.092720e+02
1122          	3.092721e+02
1123          	3.092722e+02
1124          	3.092723e+02
1125          	3.092724e+02
1126          	3.092725e+02
1127          	3.092725e+02
1128          	3.092726e+02
1129          	3.092727e+02
1130          	3.092727e+02
1131          	3.092728e+02
1132          	3.092728e+02
1133          	3.092728e+02
1134          	3.092728e+02
1135          	3.092729e+02
1136          	3.092729e+02
1137          	3.092729e+02
1138          	3.092729e+02
1139          	3.092728e+02
1140          	3.092728e+02
1141          	3.092728e+02
1142          	3.092727e+02
1143          	3.092727e+02
1144          	3.092726e+02
1145          	3.092726e+02
1146          	3.092725e+02
1147          	3.092725e+02
1148          	3.092724e+02
1149          	3.092723e+02
1150          	3.092722e+02
1151          	3.092722e+02
1152          	3.092721e+02
1153          	3.092720e+02
1154          	3.092719e+02
1155          	3.092718e+02
1156          	3.092717e+02
1157          	3.092716e+02
1158          	3.092715e+02
1159          	3.092714e+02
1160          	3.092713e+02
1161          	3.092712e+02
1162          	3.092710e+02
1163          	3.092709e+02
1164          	3.092708e+02
1165          	3.092707e+02
1166          	3.092706e+02
1167          	3.092705e+02
1168          	3.092704e+02
1169          	3.092702e+02
1170          	3.092701e+02
1171          	3.092700e+02
1172          	3.092699e+02
1173          	3.092697e+02
1174          	3.092696e+02
1175          	3.092695e+02
1176          	3.092694e+02
1177          	3.092693e+02
1178          	3.092691e+02
1179          	3.092690e+02
1180          	3.092689e+02
1181          	3.092688e+02
1182          	3.092687e+02
1183          	3.092686e+02
1184          	3.092685e+02
1185          	3.092684e+02
1186          	3.092683e+02
1187          	3.092682e+02
1188          	3.092681e+02
1189          	3.092680e+02
1190          	3.092679e+02
1191          	3.092678e+02
1192          	3.092677e+02
1193          	3.092676e+02
1194          	3.092675e+02
1195          	3.092675e+02
1196          	3.092674e+02
1197          	3.092673e+02
1198          	3.092672e+02
1199          	3.092672e+02
1200          	3.092671e+02
1201          	3.092671e+02
1202          	3.092670e+02
1203          	3.092670e+02
1204          	3.092669e+02
1205          	3.092669e+02
1206          	3.092668e+02
1207          	3.092668e+02
1208          	3.092668e+02
1209          	3.092668e+02
1210          	3.092668e+02
1211          	3.092668e+02
1212          	3.092668e+02
1213          	3.092668e+02
1214          	3.092668e+02
1215          	3.092668e+02
1216          	3.092668e+02
1217          	3.092669e+02
1218          	3.092669e+02
1219          	3.092670e+02
1220          	3.092670e+02
1221          	3.092671e+02
1222          	3.092671e+02
1223          	3.092672e+02
1224          	3.092673e+02
1225          	3.092674e+02
1226          	3.092675e+02
1227          	3.092676e+02
1228          	3.092677e+02
1229          	3.092678e+02
1230          	3.092679e+02
1231          	3.092681e+02
1232          	3.092682e+02
