# Region      : all 
# Cells       : 298902
# Volume      : 2.872800e-05
# Time        	max(T)
612           	3.092319e+02
613           	3.092337e+02
614           	3.092354e+02
615           	3.092370e+02
616           	3.092387e+02
617           	3.092404e+02
618           	3.092421e+02
619           	3.092437e+02
620           	3.092454e+02
621           	3.092470e+02
622           	3.092487e+02
623           	3.092503e+02
624           	3.092519e+02
625           	3.092536e+02
626           	3.092552e+02
627           	3.092568e+02
628           	3.092584e+02
629           	3.092600e+02
630           	3.092616e+02
631           	3.092631e+02
632           	3.092647e+02
633           	3.092663e+02
634           	3.092678e+02
635           	3.092694e+02
636           	3.092709e+02
637           	3.092725e+02
638           	3.092740e+02
639           	3.092755e+02
640           	3.092770e+02
641           	3.092786e+02
642           	3.092801e+02
643           	3.092815e+02
644           	3.092830e+02
645           	3.092845e+02
646           	3.092860e+02
647           	3.092875e+02
648           	3.092889e+02
649           	3.092904e+02
650           	3.092918e+02
651           	3.092932e+02
652           	3.092947e+02
653           	3.092961e+02
654           	3.092975e+02
655           	3.092989e+02
656           	3.093003e+02
657           	3.093017e+02
658           	3.093031e+02
659           	3.093045e+02
660           	3.093059e+02
661           	3.093072e+02
662           	3.093086e+02
663           	3.093100e+02
664           	3.093113e+02
665           	3.093127e+02
666           	3.093140e+02
667           	3.093153e+02
668           	3.093166e+02
669           	3.093179e+02
670           	3.093193e+02
671           	3.093206e+02
672           	3.093219e+02
673           	3.093231e+02
674           	3.093244e+02
675           	3.093257e+02
676           	3.093270e+02
677           	3.093282e+02
678           	3.093295e+02
679           	3.093307e+02
680           	3.093320e+02
681           	3.093332e+02
682           	3.093344e+02
683           	3.093357e+02
684           	3.093369e+02
685           	3.093381e+02
686           	3.093393e+02
687           	3.093405e+02
688           	3.093417e+02
689           	3.093429e+02
690           	3.093441e+02
691           	3.093452e+02
692           	3.093464e+02
693           	3.093476e+02
694           	3.093487e+02
695           	3.093499e+02
696           	3.093510e+02
697           	3.093522e+02
698           	3.093533e+02
699           	3.093544e+02
700           	3.093556e+02
701           	3.093567e+02
702           	3.093578e+02
703           	3.093589e+02
704           	3.093600e+02
705           	3.093611e+02
706           	3.093622e+02
707           	3.093633e+02
708           	3.093644e+02
709           	3.093655e+02
710           	3.093665e+02
711           	3.093676e+02
712           	3.093687e+02
713           	3.093697e+02
714           	3.093708e+02
715           	3.093718e+02
716           	3.093729e+02
717           	3.093739e+02
718           	3.093749e+02
719           	3.093760e+02
720           	3.093770e+02
721           	3.093780e+02
722           	3.093790e+02
723           	3.093800e+02
724           	3.093810e+02
725           	3.093820e+02
726           	3.093830e+02
727           	3.093840e+02
728           	3.093849e+02
729           	3.093859e+02
730           	3.093869e+02
731           	3.093878e+02
732           	3.093888e+02
733           	3.093897e+02
734           	3.093907e+02
735           	3.093916e+02
736           	3.093926e+02
737           	3.093935e+02
738           	3.093944e+02
739           	3.093954e+02
740           	3.093963e+02
741           	3.093972e+02
742           	3.093981e+02
743           	3.093990e+02
744           	3.094000e+02
745           	3.094009e+02
746           	3.094018e+02
747           	3.094027e+02
748           	3.094036e+02
749           	3.094044e+02
750           	3.094053e+02
751           	3.094062e+02
752           	3.094071e+02
753           	3.094080e+02
754           	3.094088e+02
755           	3.094097e+02
756           	3.094106e+02
757           	3.094114e+02
758           	3.094123e+02
759           	3.094131e+02
760           	3.094140e+02
761           	3.094148e+02
762           	3.094157e+02
763           	3.094165e+02
764           	3.094173e+02
765           	3.094182e+02
766           	3.094190e+02
767           	3.094198e+02
768           	3.094207e+02
769           	3.094215e+02
770           	3.094223e+02
771           	3.094231e+02
772           	3.094239e+02
773           	3.094247e+02
774           	3.094255e+02
775           	3.094263e+02
776           	3.094271e+02
777           	3.094279e+02
778           	3.094287e+02
779           	3.094295e+02
780           	3.094303e+02
781           	3.094311e+02
782           	3.094319e+02
783           	3.094326e+02
784           	3.094334e+02
785           	3.094342e+02
786           	3.094349e+02
787           	3.094357e+02
788           	3.094365e+02
789           	3.094372e+02
790           	3.094380e+02
791           	3.094387e+02
792           	3.094395e+02
793           	3.094402e+02
794           	3.094410e+02
795           	3.094417e+02
796           	3.094424e+02
797           	3.094432e+02
798           	3.094439e+02
799           	3.094446e+02
800           	3.094453e+02
801           	3.094460e+02
802           	3.094467e+02
803           	3.094474e+02
804           	3.094481e+02
805           	3.094488e+02
806           	3.094495e+02
807           	3.094502e+02
808           	3.094509e+02
809           	3.094516e+02
810           	3.094522e+02
811           	3.094529e+02
812           	3.094536e+02
813           	3.094542e+02
814           	3.094549e+02
815           	3.094555e+02
816           	3.094562e+02
817           	3.094568e+02
818           	3.094574e+02
819           	3.094581e+02
820           	3.094587e+02
821           	3.094593e+02
822           	3.094599e+02
823           	3.094605e+02
824           	3.094611e+02
825           	3.094617e+02
826           	3.094623e+02
827           	3.094629e+02
828           	3.094635e+02
829           	3.094641e+02
830           	3.094647e+02
831           	3.094652e+02
832           	3.094658e+02
833           	3.094664e+02
834           	3.094670e+02
835           	3.094675e+02
836           	3.094681e+02
837           	3.094686e+02
838           	3.094692e+02
839           	3.094697e+02
840           	3.094703e+02
841           	3.094708e+02
842           	3.094714e+02
843           	3.094719e+02
844           	3.094724e+02
845           	3.094730e+02
846           	3.094735e+02
847           	3.094740e+02
848           	3.094746e+02
849           	3.094751e+02
850           	3.094756e+02
851           	3.094761e+02
852           	3.094766e+02
853           	3.094771e+02
854           	3.094776e+02
855           	3.094781e+02
856           	3.094786e+02
857           	3.094791e+02
858           	3.094796e+02
859           	3.094801e+02
860           	3.094806e+02
861           	3.094811e+02
862           	3.094816e+02
863           	3.094820e+02
864           	3.094825e+02
865           	3.094830e+02
866           	3.094835e+02
867           	3.094839e+02
868           	3.094844e+02
869           	3.094849e+02
870           	3.094853e+02
871           	3.094858e+02
872           	3.094862e+02
873           	3.094867e+02
874           	3.094871e+02
875           	3.094876e+02
876           	3.094880e+02
877           	3.094885e+02
878           	3.094889e+02
879           	3.094894e+02
880           	3.094898e+02
881           	3.094902e+02
882           	3.094907e+02
883           	3.094911e+02
884           	3.094916e+02
885           	3.094920e+02
886           	3.094924e+02
887           	3.094929e+02
888           	3.094933e+02
889           	3.094937e+02
890           	3.094942e+02
891           	3.094946e+02
892           	3.094950e+02
893           	3.094954e+02
894           	3.094959e+02
895           	3.094963e+02
896           	3.094967e+02
897           	3.094971e+02
898           	3.094975e+02
899           	3.094980e+02
900           	3.094984e+02
901           	3.094988e+02
902           	3.094992e+02
903           	3.094996e+02
904           	3.095000e+02
905           	3.095005e+02
906           	3.095009e+02
907           	3.095013e+02
