# Region      : all 
# Cells       : 2808
# Volume      : 3.875062e-07
# Time        	max(T)
824           	3.105026e+02
825           	3.105032e+02
826           	3.105038e+02
827           	3.105044e+02
828           	3.105050e+02
829           	3.105056e+02
830           	3.105062e+02
831           	3.105068e+02
832           	3.105073e+02
833           	3.105079e+02
834           	3.105085e+02
835           	3.105090e+02
836           	3.105096e+02
837           	3.105102e+02
838           	3.105107e+02
839           	3.105113e+02
840           	3.105118e+02
841           	3.105124e+02
842           	3.105129e+02
843           	3.105134e+02
844           	3.105140e+02
845           	3.105145e+02
846           	3.105150e+02
847           	3.105156e+02
848           	3.105161e+02
849           	3.105166e+02
850           	3.105171e+02
851           	3.105177e+02
852           	3.105182e+02
853           	3.105187e+02
854           	3.105192e+02
855           	3.105197e+02
856           	3.105202e+02
857           	3.105207e+02
858           	3.105212e+02
859           	3.105217e+02
860           	3.105222e+02
861           	3.105226e+02
862           	3.105231e+02
863           	3.105236e+02
864           	3.105241e+02
865           	3.105246e+02
866           	3.105250e+02
867           	3.105255e+02
868           	3.105260e+02
869           	3.105264e+02
870           	3.105269e+02
871           	3.105273e+02
872           	3.105278e+02
873           	3.105283e+02
874           	3.105287e+02
875           	3.105292e+02
876           	3.105296e+02
877           	3.105301e+02
878           	3.105305e+02
879           	3.105310e+02
880           	3.105314e+02
881           	3.105318e+02
882           	3.105323e+02
883           	3.105327e+02
884           	3.105332e+02
885           	3.105336e+02
886           	3.105340e+02
887           	3.105345e+02
888           	3.105349e+02
889           	3.105354e+02
890           	3.105358e+02
891           	3.105362e+02
892           	3.105366e+02
893           	3.105371e+02
894           	3.105375e+02
895           	3.105379e+02
896           	3.105384e+02
897           	3.105388e+02
898           	3.105392e+02
899           	3.105396e+02
900           	3.105401e+02
901           	3.105405e+02
902           	3.105409e+02
903           	3.105413e+02
904           	3.105417e+02
905           	3.105421e+02
906           	3.105426e+02
907           	3.105430e+02
908           	3.105434e+02
909           	3.105438e+02
910           	3.105442e+02
911           	3.105446e+02
912           	3.105450e+02
913           	3.105453e+02
914           	3.105457e+02
915           	3.105461e+02
916           	3.105465e+02
917           	3.105469e+02
918           	3.105472e+02
919           	3.105476e+02
920           	3.105479e+02
921           	3.105483e+02
922           	3.105486e+02
923           	3.105490e+02
924           	3.105493e+02
925           	3.105497e+02
926           	3.105500e+02
927           	3.105503e+02
928           	3.105506e+02
929           	3.105509e+02
930           	3.105512e+02
931           	3.105515e+02
932           	3.105518e+02
933           	3.105521e+02
934           	3.105524e+02
935           	3.105527e+02
936           	3.105530e+02
937           	3.105532e+02
938           	3.105535e+02
939           	3.105538e+02
940           	3.105540e+02
941           	3.105543e+02
942           	3.105545e+02
943           	3.105548e+02
944           	3.105550e+02
945           	3.105552e+02
946           	3.105554e+02
947           	3.105557e+02
948           	3.105559e+02
949           	3.105561e+02
950           	3.105563e+02
951           	3.105565e+02
952           	3.105567e+02
953           	3.105569e+02
954           	3.105571e+02
955           	3.105573e+02
956           	3.105574e+02
957           	3.105576e+02
958           	3.105578e+02
959           	3.105580e+02
960           	3.105581e+02
961           	3.105583e+02
962           	3.105585e+02
963           	3.105586e+02
964           	3.105588e+02
965           	3.105589e+02
966           	3.105591e+02
967           	3.105592e+02
968           	3.105594e+02
969           	3.105595e+02
970           	3.105597e+02
971           	3.105598e+02
972           	3.105600e+02
973           	3.105601e+02
974           	3.105603e+02
975           	3.105604e+02
976           	3.105606e+02
977           	3.105607e+02
978           	3.105609e+02
979           	3.105610e+02
980           	3.105612e+02
981           	3.105613e+02
982           	3.105615e+02
983           	3.105616e+02
984           	3.105618e+02
985           	3.105619e+02
986           	3.105621e+02
987           	3.105623e+02
988           	3.105624e+02
989           	3.105626e+02
990           	3.105627e+02
991           	3.105629e+02
992           	3.105631e+02
993           	3.105632e+02
994           	3.105634e+02
995           	3.105635e+02
996           	3.105637e+02
997           	3.105639e+02
998           	3.105640e+02
999           	3.105642e+02
1000          	3.105644e+02
1001          	3.105646e+02
1002          	3.105647e+02
1003          	3.105649e+02
1004          	3.105651e+02
1005          	3.105653e+02
1006          	3.105654e+02
1007          	3.105656e+02
1008          	3.105658e+02
1009          	3.105660e+02
1010          	3.105662e+02
1011          	3.105664e+02
1012          	3.105666e+02
1013          	3.105668e+02
1014          	3.105669e+02
1015          	3.105671e+02
1016          	3.105673e+02
1017          	3.105675e+02
1018          	3.105677e+02
1019          	3.105679e+02
1020          	3.105681e+02
1021          	3.105684e+02
1022          	3.105686e+02
1023          	3.105688e+02
1024          	3.105690e+02
1025          	3.105692e+02
1026          	3.105694e+02
1027          	3.105696e+02
1028          	3.105699e+02
1029          	3.105701e+02
1030          	3.105703e+02
1031          	3.105705e+02
1032          	3.105708e+02
1033          	3.105710e+02
1034          	3.105712e+02
1035          	3.105715e+02
1036          	3.105717e+02
1037          	3.105719e+02
1038          	3.105722e+02
1039          	3.105724e+02
1040          	3.105727e+02
1041          	3.105729e+02
1042          	3.105732e+02
1043          	3.105734e+02
1044          	3.105737e+02
1045          	3.105739e+02
1046          	3.105742e+02
1047          	3.105744e+02
1048          	3.105747e+02
1049          	3.105750e+02
1050          	3.105752e+02
1051          	3.105755e+02
1052          	3.105758e+02
1053          	3.105760e+02
1054          	3.105763e+02
1055          	3.105766e+02
1056          	3.105769e+02
1057          	3.105771e+02
1058          	3.105774e+02
1059          	3.105777e+02
1060          	3.105780e+02
1061          	3.105782e+02
1062          	3.105785e+02
1063          	3.105788e+02
1064          	3.105791e+02
1065          	3.105793e+02
1066          	3.105796e+02
1067          	3.105799e+02
1068          	3.105802e+02
1069          	3.105804e+02
1070          	3.105807e+02
1071          	3.105810e+02
1072          	3.105813e+02
1073          	3.105815e+02
1074          	3.105818e+02
1075          	3.105821e+02
1076          	3.105823e+02
1077          	3.105826e+02
1078          	3.105829e+02
1079          	3.105831e+02
1080          	3.105834e+02
1081          	3.105836e+02
1082          	3.105839e+02
1083          	3.105841e+02
1084          	3.105844e+02
1085          	3.105846e+02
1086          	3.105849e+02
1087          	3.105851e+02
1088          	3.105854e+02
1089          	3.105856e+02
1090          	3.105858e+02
1091          	3.105861e+02
1092          	3.105863e+02
1093          	3.105865e+02
1094          	3.105868e+02
1095          	3.105870e+02
1096          	3.105872e+02
1097          	3.105874e+02
1098          	3.105877e+02
1099          	3.105879e+02
1100          	3.105881e+02
1101          	3.105883e+02
1102          	3.105885e+02
1103          	3.105888e+02
1104          	3.105890e+02
1105          	3.105892e+02
1106          	3.105894e+02
1107          	3.105896e+02
1108          	3.105898e+02
1109          	3.105900e+02
1110          	3.105901e+02
1111          	3.105903e+02
1112          	3.105905e+02
1113          	3.105907e+02
1114          	3.105908e+02
1115          	3.105910e+02
1116          	3.105911e+02
1117          	3.105913e+02
1118          	3.105914e+02
1119          	3.105916e+02
1120          	3.105917e+02
1121          	3.105918e+02
1122          	3.105920e+02
1123          	3.105921e+02
1124          	3.105922e+02
1125          	3.105923e+02
1126          	3.105924e+02
1127          	3.105924e+02
1128          	3.105925e+02
1129          	3.105926e+02
1130          	3.105926e+02
1131          	3.105927e+02
1132          	3.105927e+02
1133          	3.105927e+02
1134          	3.105928e+02
1135          	3.105928e+02
1136          	3.105928e+02
1137          	3.105928e+02
1138          	3.105928e+02
1139          	3.105928e+02
1140          	3.105928e+02
1141          	3.105927e+02
1142          	3.105927e+02
1143          	3.105927e+02
1144          	3.105926e+02
1145          	3.105926e+02
1146          	3.105925e+02
1147          	3.105925e+02
1148          	3.105924e+02
1149          	3.105923e+02
1150          	3.105922e+02
1151          	3.105922e+02
1152          	3.105921e+02
1153          	3.105920e+02
1154          	3.105919e+02
1155          	3.105918e+02
1156          	3.105917e+02
1157          	3.105916e+02
1158          	3.105915e+02
1159          	3.105914e+02
1160          	3.105913e+02
1161          	3.105912e+02
1162          	3.105911e+02
1163          	3.105910e+02
1164          	3.105908e+02
1165          	3.105907e+02
1166          	3.105906e+02
1167          	3.105905e+02
1168          	3.105904e+02
1169          	3.105902e+02
1170          	3.105901e+02
1171          	3.105900e+02
1172          	3.105899e+02
1173          	3.105898e+02
1174          	3.105896e+02
1175          	3.105895e+02
1176          	3.105894e+02
1177          	3.105893e+02
1178          	3.105892e+02
1179          	3.105890e+02
1180          	3.105889e+02
1181          	3.105888e+02
1182          	3.105887e+02
1183          	3.105886e+02
1184          	3.105885e+02
1185          	3.105884e+02
1186          	3.105883e+02
1187          	3.105882e+02
1188          	3.105881e+02
1189          	3.105880e+02
1190          	3.105879e+02
1191          	3.105878e+02
1192          	3.105877e+02
1193          	3.105876e+02
1194          	3.105875e+02
1195          	3.105874e+02
1196          	3.105873e+02
1197          	3.105872e+02
1198          	3.105872e+02
1199          	3.105871e+02
1200          	3.105870e+02
1201          	3.105870e+02
1202          	3.105869e+02
1203          	3.105869e+02
1204          	3.105868e+02
1205          	3.105868e+02
1206          	3.105867e+02
1207          	3.105867e+02
1208          	3.105867e+02
1209          	3.105866e+02
1210          	3.105866e+02
1211          	3.105866e+02
1212          	3.105866e+02
1213          	3.105866e+02
1214          	3.105866e+02
1215          	3.105866e+02
1216          	3.105867e+02
1217          	3.105867e+02
1218          	3.105867e+02
1219          	3.105868e+02
1220          	3.105868e+02
1221          	3.105869e+02
1222          	3.105869e+02
1223          	3.105870e+02
1224          	3.105871e+02
1225          	3.105872e+02
1226          	3.105873e+02
1227          	3.105874e+02
1228          	3.105875e+02
1229          	3.105876e+02
1230          	3.105877e+02
1231          	3.105878e+02
1232          	3.105879e+02
1233          	3.105881e+02
1234          	3.105882e+02
1235          	3.105884e+02
